count,tag_sets_id,label,tag,tags_id
1,2389,Sinatra,Sinatra,9431867
1,2389,Donald John Trump,Donald John Trump,9458208
1,2389,Muhammad Ali,Muhammad Ali,9372222
1,1011,Louisiana,geonames_4331987,8878576
1,2389,JOHN E. STAFFORD Rye,JOHN E. STAFFORD Rye,13111533
1,2389,George W. Bush,George W. Bush,9363130
1,1011,Manhattan,geonames_5125771,8878499
1,2388,navy,navy,9363756
1,2388,U.S.A.,U.S.A.,9434336
1,2389,Harry Helmsley,Harry Helmsley,9886804
1,1011,Brooklyn,geonames_5110302,8878462
1,2389,Leigh Winner,Leigh Winner,9670552
1,1011,Atlantic City,geonames_4500546,8881017
1,2388,Grand Hyatt Hotel Trump Corporation,Grand Hyatt Hotel Trump Corporation,9886782
1,2388,Loewe of Madrid,Loewe of Madrid,9886741
1,2389,Jared Kushner,Jared Kushner,9362984
1,1963,demonstrations and riots,demonstrations and riots,9360974
1,1963,apparel,apparel,9360953
1,1011,Repubblica Italiana,geonames_3175395,8878643
1,2389,Steve Eder,Steve Eder,9394813
1,2389,Ye Olde,Ye Olde,10739516
1,1963,insurance,insurance,9360924
1,2389,Kathy Sloane,Kathy Sloane,10525115
1,2389,Wallgren,Wallgren,11810422
1,2389,Mel M. Immergut,Mel M. Immergut,10066331
1,2388,Random House,Random House,9382775
1,2389,Jon Soltz,Jon Soltz,9757454
1,2389,Mitch McConnell,Mitch McConnell,9362936
1,2388,northwest of Augusta,northwest of Augusta,18481303
1,2388,"Standard Abstract Corporation, publishers of daily realty","Standard Abstract Corporation, publishers of daily realty",9886745
1,2388,Brooklyn Democratic organization,Brooklyn Democratic organization,9663563
1,1963,education and schools,education and schools,9360833
1,2388,United States Football League,United States Football League,9474690
1,1011,London,geonames_2643743,8878473
1,1011,Khabarovskiy Kray,geonames_2022888,8887918
1,2388,national intelligence,national intelligence,9364112
1,2389,Louise M. Sunshine,Louise M. Sunshine,9553383
1,2389,Barron,Barron,9377356
1,2388,Wembly Realty Inc.,Wembly Realty Inc.,9886737
1,2389,Tom Cotton,Tom Cotton,9367444
1,2389,Rudolph Giuliani,Rudolph Giuliani,9368010
1,2389,Alan Garten,Alan Garten,9379335
1,2389,Kathy Shelton,Kathy Shelton,9435637
1,2389,jobwise,jobwise,9866661
1,2389,Sarah Margon,Sarah Margon,9394302
1,2389,Susan,Susan,9366147
1,2389,Kashiya Nwanguma,Kashiya Nwanguma,9385727
1,2389,Robert Trump,Robert Trump,9469201
1,2389,Abraham Lincoln,Abraham Lincoln,9364702
1,2389,Rudin,Rudin,9561401
1,2389,Harry Levinson,Harry Levinson,9886825
1,2388,U.N.,U.N.,9363619
1,2388,Washington University,Washington University,9421247
1,2389,Ilyse Fink,Ilyse Fink,21562125
1,2389,Donald J. Trumpdrawing,Donald J. Trumpdrawing,9886806
1,2389,Jason Miller,Jason Miller,9362790
1,1011,San Bernardino,geonames_5391710,8883897
1,2389,Sanei,Sanei,9458565
1,2388,defense,defense,9362925
1,1011,Cambridge,geonames_4931972,8891635
1,2388,Fox News,Fox News,9364167
1,2388,Secret Service,Secret Service,9363454
1,2389,Fred,Fred,9407474
1,2389,Rex Tillerson,Rex Tillerson,9362874
1,2389,John McGraw,John McGraw,9563082
1,2389,AINARA TIEFENTHÄLER,AINARA TIEFENTHÄLER,9380838
1,2389,Robert Abrams,Robert Abrams,9886816
1,2389,Trey Gowdy,Trey Gowdy,9379447
1,2389,Saxe,Saxe,9553358
1,2389,Louise Sunshine,Louise Sunshine,9590984
1,2389,Yun,Yun,9479931
1,2388,Medicaid,Medicaid,9458020
1,2389,Mattis,Mattis,9384527
1,1011,Dubayy,geonames_292224,8878922
1,2389,Jeremy Bowers,Jeremy Bowers,9475119
1,2389,Roy Cohn,Roy Cohn,9380597
1,1011,North Charleston,geonames_4589387,8886237
1,1011,Georgia,geonames_4197000,8878530
1,2389,Jose E. B. Antonio,Jose E. B. Antonio,9486841
1,2389,Robbie,Robbie,9392904
1,2389,Michael S. Rogers,Michael S. Rogers,9385677
1,2388,Hyatt Corporation,Hyatt Corporation,9611214
1,2389,Titan Atlas,Titan Atlas,9744570
1,2389,Herschel Walker,Herschel Walker,9553366
1,2389,COOPER,COOPER,9549976
1,2389,Asprey,Asprey,9553363
1,2389,Graham,Graham,9375034
1,2389,Abraham D. Beame,Abraham D. Beame,9480615
1,2388,Park Imperial,Park Imperial,21562109
1,2389,Doug Flutie,Doug Flutie,9614241
1,2388,select committee,select committee,9398066
1,2389,Jeff Flake,Jeff Flake,9362937
1,2389,Soros,Soros,9415197
1,2389,Dera Sacha Sauda,Dera Sacha Sauda,9388998
1,2388,Community Environmental Legal Defense Fund,Community Environmental Legal Defense Fund,9806469
1,2389,Muslim,Muslim,9363133
1,2389,Gary Davis,Gary Davis,9602255
1,2388,Genesco,Genesco,9393789
1,1011,Augusta,geonames_4180531,8879143
1,2389,Putin,Putin,9363338
1,2388,Penn Central,Penn Central,9474678
1,2389,Ivanka Trump,Ivanka Trump,9364183
1,1011,White House,geonames_4667282,8879476
1,2389,Floyd Mayweather Jr.,Floyd Mayweather Jr.,9516698
1,2389,Fisher,Fisher,9364867
1,2388,ISIS,ISIS,9362990
1,2389,Marilyn Evins,Marilyn Evins,9886820
1,2389,Richard Fausset,Richard Fausset,9403270
1,2389,Harry Winston,Harry Winston,9553364
1,2389,Mark R. Warner,Mark R. Warner,9364938
1,2388,Republican Party,Republican Party,9374874
1,2388,Koch Industries,Koch Industries,9378474
1,2389,Elaine,Elaine,9363487
1,2388,Senate Intelligence Committee,Senate Intelligence Committee,9364935
1,2389,Kitty Bennett,Kitty Bennett,9468144
1,2389,Thomas Furse,Thomas Furse,11353697
1,2389,Preston Robert Tisch,Preston Robert Tisch,9590971
1,2389,Richard C. Paddock,Richard C. Paddock,9486868
1,2388,TRUMP FAMILY Trump Equities Inc.,TRUMP FAMILY Trump Equities Inc.,9886792
1,2389,Oliver A. Rosengart,Oliver A. Rosengart,21562118
1,2389,Francis L. Bryant,Francis L. Bryant,9886802
1,1011,Dubai,geonames_10212220,9038911
1,2388,voice of Frank Sinatra,voice of Frank Sinatra,9886748
1,2388,NEW YORK TIMES,NEW YORK TIMES,9450659
1,2389,Eyal,Eyal,9904547
1,2389,Rudolph W. Giuliani,Rudolph W. Giuliani,9365246
1,2389,Abigail Klem,Abigail Klem,9366620
1,2388,Koch brothers,Koch brothers,9378471
1,1888,,all,9324046
